location_name,est_infections_lower,est_infections_upper,year,month,day
Germany,299.64334986887,388.16737179097504,2020,7,17
Germany,305.508080373266,395.9410396911029,2020,7,18
Germany,311.740554806335,402.46819353861997,2020,7,19
Germany,316.416592117741,406.769197176194,2020,7,20
Germany,321.02627714079,411.103314088077,2020,7,21
Germany,324.316086154999,415.543025328282,2020,7,22
Germany,326.279548058616,420.003566705622,2020,7,23
Germany,326.10341439951696,419.20995875144996,2020,7,24
Germany,324.666182644896,420.44304318184487,2020,7,25
Germany,322.430055891388,419.71322644712006,2020,7,26
Germany,319.474523874854,416.078296225205,2020,7,27
Germany,315.325059076052,409.665035449518,2020,7,28
Germany,311.065810054304,406.9897825454249,2020,7,29
Germany,304.216044627449,400.8103505373349,2020,7,30
Germany,296.116259306116,392.670169639463,2020,7,31
Germany,289.195646351864,381.40132332352204,2020,8,1
Germany,280.787708479638,373.608935894779,2020,8,2
Germany,271.63539952526503,362.76925818409205,2020,8,3
Germany,261.51675953727903,353.88931774055,2020,8,4
Germany,252.9308270727,343.214600856376,2020,8,5
Germany,244.755575271253,332.756591416197,2020,8,6
Germany,237.40237441931197,320.680525447329,2020,8,7
Germany,230.815066592723,309.508654021501,2020,8,8
Germany,225.39189504384498,299.50577716497,2020,8,9
Germany,221.045023181818,290.890904546709,2020,8,10
Germany,218.57483304249,282.759351581891,2020,8,11
Germany,216.999023897875,276.614100683248,2020,8,12
Germany,214.193837593651,269.537275691687,2020,8,13
Germany,212.41297667551498,265.869798491935,2020,8,14
Germany,211.630936333386,262.747202771449,2020,8,15
Germany,210.68477420691602,261.131894561533,2020,8,16
Germany,211.560274256763,262.154884865537,2020,8,17
Germany,213.01734663182492,264.85772728571,2020,8,18
Germany,213.72815273788,267.105719435183,2020,8,19
Germany,216.35405307894902,272.139837539596,2020,8,20
Germany,219.195227146141,277.156808404794,2020,8,21
Germany,222.62899589717202,283.11706856918096,2020,8,22
Germany,227.32281338936696,289.859890509271,2020,8,23
Germany,233.038658728868,297.502632319719,2020,8,24
Germany,239.542833472523,308.369964585267,2020,8,25
Germany,248.27710218416198,322.123895716393,2020,8,26
Germany,257.208464109967,337.699498313641,2020,8,27
Germany,268.611226023693,355.774393398491,2020,8,28
Germany,281.60153611744704,377.41523886691596,2020,8,29
Germany,295.457295888907,400.3678976011409,2020,8,30
Germany,310.81209697795504,424.679218197641,2020,8,31
Germany,329.196706983112,453.875098910082,2020,9,1
Germany,349.076916503026,485.081668096668,2020,9,2
Germany,372.02161254659796,516.07591852023,2020,9,3
Germany,395.55322183439796,550.6377944713761,2020,9,4
Germany,421.333759863187,585.3979440104911,2020,9,5
Germany,446.940039557949,618.809642138035,2020,9,6
Germany,475.46182974663805,655.152410280443,2020,9,7
Germany,506.12034992917603,694.186392879138,2020,9,8
Germany,535.687901606981,727.559525521682,2020,9,9
Germany,565.2840090720599,761.1310356913029,2020,9,10
Germany,594.2573242184491,789.588896478882,2020,9,11
Germany,623.946087545897,820.077481276607,2020,9,12
Germany,650.418579396766,855.990508558338,2020,9,13
Germany,672.199315839831,889.5499347842509,2020,9,14
Germany,687.286503774065,917.498141275732,2020,9,15
Germany,693.359473516763,942.0765505934461,2020,9,16
Germany,697.091582145029,958.845430165114,2020,9,17
Germany,698.88220515022,975.5449051820959,2020,9,18
Germany,699.6763687611459,984.675445540762,2020,9,19
Germany,700.856446545514,995.6025404971367,2020,9,20
Germany,702.537892958352,1004.6390190832401,2020,9,21
Germany,703.6303834088969,1011.9930971932199,2020,9,22
Germany,706.6161047324631,1020.9113402399,2020,9,23
Germany,708.0997815539639,1032.8298021657902,2020,9,24
Germany,712.622395031279,1056.25867871545,2020,9,25
Germany,714.924989305542,1081.68601235524,2020,9,26
Germany,720.3504215790158,1108.06703087404,2020,9,27
Germany,726.750735920161,1141.6075018798301,2020,9,28
Germany,730.345050428047,1176.90974418041,2020,9,29
Germany,739.707054231156,1213.21024395278,2020,9,30
Germany,750.0584041730029,1254.9536047847698,2020,10,1
Germany,760.621971061974,1301.12097981144,2020,10,2
Germany,772.107249869662,1351.1289343164199,2020,10,3
Germany,786.6662432162268,1402.66602517606,2020,10,4
Germany,799.77897002998,1462.03743326113,2020,10,5
Germany,815.1994825137131,1514.8338983479098,2020,10,6
Germany,830.461867677746,1574.15787723103,2020,10,7
Germany,846.549710334125,1637.04675457542,2020,10,8
Germany,863.7638241162939,1704.04955238439,2020,10,9
Germany,881.466628850773,1779.0053918691394,2020,10,10
Germany,902.776757304754,1865.7699133986896,2020,10,11
Germany,922.7087823907608,1951.75691636945,2020,10,12
Germany,944.120131566381,2046.50779608678,2020,10,13
Germany,967.12248472562,2147.76305202006,2020,10,14
Germany,992.742063315475,2252.53457953911,2020,10,15
Germany,1018.68622993665,2366.42888521217,2020,10,16
Germany,1049.93128703058,2491.08240562036,2020,10,17
Germany,1076.8410814435902,2625.74032507068,2020,10,18
Germany,1102.27518763745,2769.8561872609803,2020,10,19
Germany,1135.4544577377,2902.3483392573407,2020,10,20
Germany,1162.9190969869,3070.8943244371003,2020,10,21
Germany,1193.4799351266302,3254.0047086101,2020,10,22
Germany,1226.4135177861501,3459.86512501058,2020,10,23
Germany,1259.49693239521,3687.1182235902397,2020,10,24
Germany,1297.4021173276801,3933.77960981845,2020,10,25
Germany,1347.13413113845,4210.50919228611,2020,10,26
Germany,1402.54375512616,4532.71614480023,2020,10,27
Germany,1444.62787290801,4883.86124851627,2020,10,28
Germany,1487.9563279825302,5219.08476976094,2020,10,29
Germany,1538.609570001,5603.610444496821,2020,10,30
Germany,1591.55602572196,5982.18233404755,2020,10,31
Germany,1651.9869606218301,6433.04921221594,2020,11,1
Germany,1717.9251232733,6890.140585658511,2020,11,2
Germany,1792.00368483186,7434.547380079572,2020,11,3
Germany,1869.5554811467398,8024.61150521429,2020,11,4
Germany,1950.57224001109,8696.26910462319,2020,11,5
Germany,2038.67670228268,9420.286534156041,2020,11,6
Germany,2133.81054427114,10175.8722666225,2020,11,7
Germany,2216.25886379864,11132.056845642199,2020,11,8
Germany,2308.68773505686,11986.615714873702,2020,11,9
Germany,2414.1089347490197,12922.7623610253,2020,11,10
Germany,2501.0186704367397,13935.8333701999,2020,11,11
Germany,2599.71978336348,15126.9577797662,2020,11,12
Germany,2712.050267828589,16533.0488019633,2020,11,13
Germany,2832.98178773634,18091.0707660251,2020,11,14
Germany,2960.20910737247,19808.0280857484,2020,11,15
Germany,3094.1354026148997,21701.5452211394,2020,11,16
Germany,3235.17767106685,23790.730939800098,2020,11,17
Germany,3384.7522909207696,26027.1682265786,2020,11,18
Germany,3534.19037088594,28236.7666510629,2020,11,19
Germany,3689.201219451621,30413.8483850466,2020,11,20
Germany,3865.64387506706,33363.8211482433,2020,11,21
Germany,4044.78544003435,36334.477388784,2020,11,22
Germany,4227.11562996206,39880.6101972088,2020,11,23
Germany,4424.9986946939,42908.8167883882,2020,11,24
Germany,4630.06029464741,45927.3457602921,2020,11,25
Germany,4841.00671638474,50425.6145389558,2020,11,26
Germany,5055.85622001181,54951.1374694608,2020,11,27
Germany,5260.76270411659,57133.8075097554,2020,11,28
Germany,5497.4878222750895,61587.8975190343,2020,11,29
Germany,5759.93669039261,66032.7027967865,2020,11,30
Germany,6033.17979196816,72086.69314978,2020,12,1
Germany,6295.548124730401,76578.1988145971,2020,12,2
Germany,6587.4337499616695,79389.57475314269,2020,12,3
Germany,6898.73891187708,83308.557552746,2020,12,4
Germany,7229.358225973509,87563.1705158433,2020,12,5
Germany,7576.33896848577,91487.6060914445,2020,12,6
Germany,7940.66846305207,94571.6322672445,2020,12,7
Germany,8323.31994703525,99396.20066777107,2020,12,8
Germany,8658.235223079879,103490.27154437099,2020,12,9
Germany,8965.590656186341,108873.35021204,2020,12,10
Germany,9324.7262615849,109569.618180979,2020,12,11
Germany,9777.92398211717,112968.576799033,2020,12,12
Germany,10254.0576093336,114574.480919827,2020,12,13
Germany,10753.264758121899,116509.47772378901,2020,12,14
Germany,11276.2403768117,118878.84720063901,2020,12,15
Germany,11339.002365325401,122883.31369113,2020,12,16
Germany,11810.6511174626,125798.634527466,2020,12,17
Germany,12301.8998751385,129324.41217863199,2020,12,18
Germany,12856.295008552199,133084.09484938698,2020,12,19
Germany,13444.049175556298,136857.050995095,2020,12,20
Germany,14160.9634055346,140708.97120544402,2020,12,21
Germany,14949.5065327699,142097.74286598,2020,12,22
Germany,15572.820363687,144611.100656387,2020,12,23
Germany,16128.722970120902,148095.326547812,2020,12,24
Germany,16700.0853806993,146579.302218584,2020,12,25
Germany,17146.5801401382,148646.765259312,2020,12,26
Germany,17601.2273515799,150289.569196728,2020,12,27
Germany,18223.649385016,152387.009825136,2020,12,28
Germany,18691.7057056832,155640.49891281,2020,12,29
Germany,19570.2004582245,158283.028252257,2020,12,30
Germany,19983.3424572543,160562.521959739,2020,12,31
Germany,20568.0533759358,161793.230894281,2021,1,1
Germany,21252.2584256874,163669.24947232098,2021,1,2
Germany,21545.7805825247,167082.497727985,2021,1,3
Germany,21994.8112251958,168614.408642484,2021,1,4
Germany,22401.9263560025,169285.90372899402,2021,1,5
Germany,22821.275004314502,169738.23337193302,2021,1,6
Germany,23328.4184850874,171571.696811701,2021,1,7
Germany,24462.298334052597,172705.902336,2021,1,8
Germany,24919.9703261582,173271.013488567,2021,1,9
Germany,25316.2771655271,174784.57747517,2021,1,10
Germany,25604.7202842454,176008.191749213,2021,1,11
Germany,26039.0159636512,176419.750595323,2021,1,12
Germany,26713.584531330096,176935.225496705,2021,1,13
Germany,26698.5617425677,177716.42975550302,2021,1,14
Germany,27234.017459816,177282.855099198,2021,1,15
Germany,27717.7216254949,179058.547817172,2021,1,16
Germany,28329.4211703268,179315.02639057,2021,1,17
Germany,28848.571555206,181118.39184085198,2021,1,18
Germany,29593.707561117,182247.77205067198,2021,1,19
Germany,29970.709901912403,183086.529405705,2021,1,20
Germany,30509.0825069498,181404.95922101891,2021,1,21
Germany,30955.889742479903,181651.769290995,2021,1,22
Germany,30913.7394535366,181759.810603497,2021,1,23
Germany,31177.585615403907,183151.169415282,2021,1,24
Germany,31405.2797683204,184045.183541848,2021,1,25
Germany,31860.671106205602,181938.755135195,2021,1,26
Germany,31743.7464652593,181365.357269657,2021,1,27
Germany,31925.4504290767,181090.142411795,2021,1,28
Germany,31728.4343693683,180893.30760892,2021,1,29
Germany,31655.713604993798,177817.846659775,2021,1,30
Germany,31320.907842047596,177325.773263058,2021,1,31
Germany,31187.2350166217,176480.238905217,2021,2,1
Greece,,,2020,2,4
Greece,0.0,0.0,2020,2,5
Greece,0.0,3.41595186082331,2020,2,6
Greece,0.0,4.0191810643055,2020,2,7
Greece,0.0,4.73410132704674,2020,2,8
Greece,0.0,5.30849834144354,2020,2,9
Greece,0.7705403183202709,6.00205378186344,2020,2,10
Greece,1.07387939199609,6.8647077777669905,2020,2,11
Greece,1.46267837091604,7.95417532182961,2020,2,12
Greece,1.9828236657294598,9.55965982920745,2020,2,13
Greece,2.5740817681009998,11.5779456231605,2020,2,14
Greece,3.4101730717786096,14.1370106471747,2020,2,15
Greece,4.587884992289,17.622806577323,2020,2,16
Greece,5.9763969157113,22.231694403475,2020,2,17
Greece,7.733055017698599,28.019968319229804,2020,2,18
Greece,10.099266371401802,35.0352602530091,2020,2,19
Greece,12.696311563894598,44.3173413269006,2020,2,20
Greece,16.1217812985779,55.719371917164295,2020,2,21
Greece,20.1922771924167,70.1232427477316,2020,2,22
Greece,24.8558940825547,87.42963640811459,2020,2,23
Greece,31.0475336900708,107.10962698843099,2020,2,24
Greece,38.6186710523176,132.21428455232902,2020,2,25
Greece,48.717279210551396,163.548316445653,2020,2,26
Greece,60.94101663259229,198.71586377097802,2020,2,27
Greece,76.181744988914,240.169900296572,2020,2,28
Greece,95.5925387094845,289.30647228824404,2020,2,29
Greece,117.97289582147499,344.142277282966,2020,3,1
Greece,143.287713808057,401.47178139690595,2020,3,2
Greece,173.824357392706,458.976931064052,2020,3,3
Greece,208.295194122737,510.72991450575995,2020,3,4
Greece,244.637252773482,571.35571213344,2020,3,5
Greece,285.593403304491,624.1325190858703,2020,3,6
Greece,332.826850268892,668.939483418111,2020,3,7
Greece,377.56196397077,708.803535375256,2020,3,8
Greece,420.352064334087,741.011700031871,2020,3,9
Greece,459.258384260551,779.570293008555,2020,3,10
Greece,490.19256848939904,808.5041528965669,2020,3,11
Greece,515.6233506512381,822.945419240677,2020,3,12
Greece,531.555372105714,841.8323216962268,2020,3,13
Greece,540.696413095022,850.396083907659,2020,3,14
Greece,540.357806392481,855.8250190019569,2020,3,15
Greece,538.904748956544,851.4440331312178,2020,3,16
Greece,525.066824236179,842.418812418338,2020,3,17
Greece,514.680134316324,825.550381348468,2020,3,18
Greece,501.83757948474295,807.281405302922,2020,3,19
Greece,481.8920991697741,786.526357550006,2020,3,20
Greece,463.913856684103,764.8342021048869,2020,3,21
Greece,446.909285534644,737.078772427303,2020,3,22
Greece,429.046588695243,707.052468272077,2020,3,23
Greece,414.41628044613,684.206277859572,2020,3,24
Greece,396.311529656854,657.098093035722,2020,3,25
Greece,379.72667224957496,627.361914194188,2020,3,26
Greece,361.97440315733,600.096586385483,2020,3,27
Greece,346.991472293916,574.945904861963,2020,3,28
Greece,332.48430220997,547.137999940919,2020,3,29
Greece,318.778424988332,522.069564542457,2020,3,30
Greece,304.124795770224,501.929149314807,2020,3,31
Greece,292.37350883285,478.15732885011596,2020,4,1
Greece,279.721973451438,455.786450754198,2020,4,2
Greece,269.356901234229,435.346228237919,2020,4,3
Greece,257.640557863894,414.72358994847605,2020,4,4
Greece,248.11217700793802,398.056657534053,2020,4,5
Greece,240.190637240335,381.06544367132005,2020,4,6
Greece,230.10826713171397,366.032057759888,2020,4,7
Greece,222.024410046794,350.354272124981,2020,4,8
Greece,216.589650047594,335.292944614198,2020,4,9
Greece,210.566001855006,323.85901568137,2020,4,10
Greece,204.87345833090802,313.185523321052,2020,4,11
Greece,199.41316528882402,302.85409364753997,2020,4,12
Greece,193.72523913871999,296.229073847861,2020,4,13
Greece,189.171266341046,287.99046725402,2020,4,14
Greece,184.75848536123402,281.649625401084,2020,4,15
Greece,181.08851784643997,277.374761009574,2020,4,16
Greece,177.498109430158,275.128598455998,2020,4,17
Greece,175.06880151540298,272.266975448419,2020,4,18
Greece,171.975645102613,269.53827267197397,2020,4,19
Greece,170.46950736656999,265.50773339065,2020,4,20
Greece,168.550526072622,263.20446366136,2020,4,21
Greece,166.19736475175802,257.483894357018,2020,4,22
Greece,164.565843773344,255.03419870135897,2020,4,23
Greece,163.97321366654302,252.948344505409,2020,4,24
Greece,163.62165971405,250.019887903924,2020,4,25
Greece,162.112042232725,249.28452713952402,2020,4,26
Greece,159.745434201092,247.977575534061,2020,4,27
Greece,156.863963154079,244.998697326112,2020,4,28
Greece,153.340331571757,239.57811744341,2020,4,29
Greece,148.951995342294,235.437431865655,2020,4,30
Greece,143.94318680689,230.78310187689,2020,5,1
Greece,139.989219063403,224.465908838732,2020,5,2
Greece,134.920210871322,216.089609293997,2020,5,3
Greece,129.233055082199,208.93200053608,2020,5,4
Greece,123.27535999838999,201.17079673484002,2020,5,5
Greece,117.284513174918,193.75420186891003,2020,5,6
Greece,112.68609092104299,186.030750691678,2020,5,7
Greece,107.22805040365299,179.576285549962,2020,5,8
Greece,101.70264011322399,173.075149250198,2020,5,9
Greece,96.953898632004,164.057339306312,2020,5,10
Greece,92.2939168131086,156.408486376543,2020,5,11
Greece,88.46507408182171,149.735550923028,2020,5,12
Greece,85.423497745421,142.90296421448699,2020,5,13
Greece,82.7389366421935,136.762725734946,2020,5,14
Greece,79.9552857098487,131.608540312043,2020,5,15
Greece,78.03577082162359,126.997692751936,2020,5,16
Greece,76.57174050988401,123.351485732001,2020,5,17
Greece,75.4625742218341,119.883947029413,2020,5,18
Greece,73.57685477918899,117.542515590277,2020,5,19
Greece,72.7149320346783,115.680010116896,2020,5,20
Greece,72.4978834943063,114.442682352414,2020,5,21
Greece,71.3894767761271,112.640660636443,2020,5,22
Greece,71.27588731613571,111.600321889324,2020,5,23
Greece,70.9850825920185,110.417303031664,2020,5,24
Greece,70.1432495535454,108.974980507819,2020,5,25
Greece,69.55755071388121,107.525186722053,2020,5,26
Greece,67.878608412749,107.356510968694,2020,5,27
Greece,65.9415039896339,105.61977964783001,2020,5,28
Greece,63.7995211641506,103.539257086063,2020,5,29
Greece,61.060827452059094,102.052449691096,2020,5,30
Greece,57.1935804710228,99.3046136063407,2020,5,31
Greece,53.5257619478511,95.9528001555258,2020,6,1
Greece,49.65592148274801,91.38899755085559,2020,6,2
Greece,44.9527624317976,86.2277244525892,2020,6,3
Greece,40.3625435970339,80.7962317573677,2020,6,4
Greece,35.6324243256601,74.61158216219829,2020,6,5
Greece,31.13032795761169,68.3087235750818,2020,6,6
Greece,27.0395082571032,61.128828518925,2020,6,7
Greece,23.416897769707198,54.64960860463321,2020,6,8
Greece,20.69675678089661,48.2785383687313,2020,6,9
Greece,18.449770254108397,42.351672667444795,2020,6,10
Greece,16.6637221455182,37.0283209222843,2020,6,11
Greece,15.3482398317324,32.6204939902966,2020,6,12
Greece,14.293499012882302,29.523875619145798,2020,6,13
Greece,13.4599352969874,26.9490212745844,2020,6,14
Greece,13.097801378968999,25.4659777202559,2020,6,15
Greece,12.891353612938195,24.340600417455807,2020,6,16
Greece,12.9307060059109,24.481428669074802,2020,6,17
Greece,13.230284848624699,25.1662187201273,2020,6,18
Greece,13.501783020719,26.972386685367397,2020,6,19
Greece,14.144514418387999,29.3725536271659,2020,6,20
Greece,14.8385943981518,32.550002838091395,2020,6,21
Greece,16.2046938865339,36.1000202962621,2020,6,22
Greece,17.8170014440069,41.0343010913719,2020,6,23
Greece,19.912876021868602,46.6257120848775,2020,6,24
Greece,22.7627231416225,52.2880122494966,2020,6,25
Greece,25.853278331051396,58.9426729128407,2020,6,26
Greece,29.180007314395798,67.4259402423562,2020,6,27
Greece,33.0810084831762,75.70521580853391,2020,6,28
