cases,deaths,countriesAndTerritories,year,month,day
9,0,China,2020,5,16
5,0,China,2020,5,15
6,0,China,2020,5,14
7,0,China,2020,5,13
1,0,China,2020,5,12
19,0,China,2020,5,11
15,0,China,2020,5,10
0,0,China,2020,5,9
6,0,China,2020,5,8
2,0,China,2020,5,7
2,0,China,2020,5,6
2,0,China,2020,5,5
3,0,China,2020,5,4
2,0,China,2020,5,3
3,0,China,2020,5,2
12,0,China,2020,5,1
4,0,China,2020,4,30
2,0,China,2020,4,29
26,0,China,2020,4,28
3,1,China,2020,4,27
10,0,China,2020,4,26
15,0,China,2020,4,25
8,0,China,2020,4,24
12,0,China,2020,4,23
15,0,China,2020,4,22
32,0,China,2020,4,21
14,0,China,2020,4,20
18,0,China,2020,4,19
31,0,China,2020,4,18
352,1290,China,2020,4,17
50,0,China,2020,4,16
49,1,China,2020,4,15
94,0,China,2020,4,14
112,2,China,2020,4,13
93,0,China,2020,4,12
79,3,China,2020,4,11
55,1,China,2020,4,10
86,2,China,2020,4,9
86,2,China,2020,4,8
56,0,China,2020,4,7
67,2,China,2020,4,6
48,3,China,2020,4,5
62,4,China,2020,4,4
70,10,China,2020,4,3
100,6,China,2020,4,2
54,1,China,2020,4,1
84,3,China,2020,3,31
98,2,China,2020,3,30
113,5,China,2020,3,29
119,3,China,2020,3,28
94,5,China,2020,3,27
102,6,China,2020,3,26
78,4,China,2020,3,25
69,7,China,2020,3,24
138,9,China,2020,3,23
65,6,China,2020,3,22
52,6,China,2020,3,21
99,4,China,2020,3,20
44,8,China,2020,3,19
23,16,China,2020,3,18
43,9,China,2020,3,17
25,13,China,2020,3,16
22,9,China,2020,3,15
19,15,China,2020,3,14
22,7,China,2020,3,13
24,11,China,2020,3,12
29,22,China,2020,3,11
20,17,China,2020,3,10
45,23,China,2020,3,9
46,27,China,2020,3,8
101,28,China,2020,3,7
170,30,China,2020,3,6
117,31,China,2020,3,5
119,37,China,2020,3,4
127,32,China,2020,3,3
205,42,China,2020,3,2
574,35,China,2020,3,1
428,47,China,2020,2,29
329,44,China,2020,2,28
439,29,China,2020,2,27
410,52,China,2020,2,26
515,70,China,2020,2,25
218,150,China,2020,2,24
647,98,China,2020,2,23
826,109,China,2020,2,22
891,118,China,2020,2,21
394,112,China,2020,2,20
1750,139,China,2020,2,19
1890,98,China,2020,2,18
2052,105,China,2020,2,17
2007,142,China,2020,2,16
2538,143,China,2020,2,15
4156,13,China,2020,2,14
15141,254,China,2020,2,13
2028,97,China,2020,2,12
2490,108,China,2020,2,11
2974,97,China,2020,2,10
2607,89,China,2020,2,9
3418,86,China,2020,2,8
3160,73,China,2020,2,7
3727,72,China,2020,2,6
3872,66,China,2020,2,5
3237,65,China,2020,2,4
2812,57,China,2020,2,3
2590,45,China,2020,2,2
2095,46,China,2020,2,1
1980,43,China,2020,1,31
1740,38,China,2020,1,30
1466,26,China,2020,1,29
1753,25,China,2020,1,28
787,25,China,2020,1,27
665,15,China,2020,1,26
441,15,China,2020,1,25
259,9,China,2020,1,24
97,0,China,2020,1,23
140,11,China,2020,1,22
151,3,China,2020,1,21
19,0,China,2020,1,20
136,1,China,2020,1,19
17,0,China,2020,1,18
4,0,China,2020,1,17
0,0,China,2020,1,16
0,1,China,2020,1,15
0,0,China,2020,1,14
0,0,China,2020,1,13
0,0,China,2020,1,12
0,1,China,2020,1,11
0,0,China,2020,1,10
0,0,China,2020,1,9
0,0,China,2020,1,8
0,0,China,2020,1,7
0,0,China,2020,1,6
15,0,China,2020,1,5
0,0,China,2020,1,4
17,0,China,2020,1,3
0,0,China,2020,1,2
0,0,China,2020,1,1
27,0,China,2019,12,31
6311,132,Colombia,2020,10,20
7201,167,Colombia,2020,10,19
7017,187,Colombia,2020,10,18
8372,159,Colombia,2020,10,17
6823,151,Colombia,2020,10,16
6061,165,Colombia,2020,10,15
5015,156,Colombia,2020,10,14
7767,151,Colombia,2020,10,13
8569,174,Colombia,2020,10,12
8447,165,Colombia,2020,10,11
8121,164,Colombia,2020,10,10
8496,151,Colombia,2020,10,9
7875,163,Colombia,2020,10,8
7650,173,Colombia,2020,10,7
7106,132,Colombia,2020,10,6
6905,156,Colombia,2020,10,5
6616,159,Colombia,2020,10,4
6192,201,Colombia,2020,10,3
5660,198,Colombia,2020,10,2
5637,170,Colombia,2020,10,1
5839,187,Colombia,2020,9,30
5147,153,Colombia,2020,9,29
7018,192,Colombia,2020,9,28
7721,193,Colombia,2020,9,27
7494,179,Colombia,2020,9,26
6555,178,Colombia,2020,9,25
6731,176,Colombia,2020,9,24
7102,173,Colombia,2020,9,23
5359,189,Colombia,2020,9,22
6678,169,Colombia,2020,9,21
7927,189,Colombia,2020,9,20
6526,185,Colombia,2020,9,19
7568,187,Colombia,2020,9,18
7787,190,Colombia,2020,9,17
6698,165,Colombia,2020,9,16
5573,199,Colombia,2020,9,15
7355,190,Colombia,2020,9,14
6876,216,Colombia,2020,9,13
7424,243,Colombia,2020,9,12
7808,222,Colombia,2020,9,11
7343,236,Colombia,2020,9,10
7665,202,Colombia,2020,9,9
5327,203,Colombia,2020,9,8
8065,256,Colombia,2020,9,7
8394,268,Colombia,2020,9,6
8488,270,Colombia,2020,9,5
8235,270,Colombia,2020,9,4
9270,296,Colombia,2020,9,3
8901,389,Colombia,2020,9,2
7230,299,Colombia,2020,9,1
8024,300,Colombia,2020,8,31
9394,297,Colombia,2020,8,30
8498,299,Colombia,2020,8,29
9752,284,Colombia,2020,8,28
10142,295,Colombia,2020,8,27
10432,277,Colombia,2020,8,26
10549,296,Colombia,2020,8,25
8044,348,Colombia,2020,8,24
10965,400,Colombia,2020,8,23
8419,385,Colombia,2020,8,22
11541,204,Colombia,2020,8,21
13056,360,Colombia,2020,8,20
12462,247,Colombia,2020,8,19
8328,275,Colombia,2020,8,18
11643,287,Colombia,2020,8,17
11578,318,Colombia,2020,8,16
11306,347,Colombia,2020,8,15
11286,308,Colombia,2020,8,14
12066,362,Colombia,2020,8,13
12830,321,Colombia,2020,8,12
10142,312,Colombia,2020,8,11
10611,302,Colombia,2020,8,10
9674,290,Colombia,2020,8,9
9486,311,Colombia,2020,8,8
11996,315,Colombia,2020,8,7
10735,309,Colombia,2020,8,6
7129,298,Colombia,2020,8,5
10199,367,Colombia,2020,8,4
11470,320,Colombia,2020,8,3
10673,225,Colombia,2020,8,2
9488,295,Colombia,2020,8,1
9965,356,Colombia,2020,7,31
8670,380,Colombia,2020,7,30
10284,297,Colombia,2020,7,29
8125,252,Colombia,2020,7,28
8181,256,Colombia,2020,7,27
7254,294,Colombia,2020,7,26
7168,287,Colombia,2020,7,25
7945,315,Colombia,2020,7,24
7390,207,Colombia,2020,7,23
7033,237,Colombia,2020,7,22
6727,193,Colombia,2020,7,21
6578,220,Colombia,2020,7,20
8560,228,Colombia,2020,7,19
