cases,deaths,countriesAndTerritories,year,month,day
87,5,Afghanistan,2020,10,20
59,4,Afghanistan,2020,10,19
68,3,Afghanistan,2020,10,18
47,4,Afghanistan,2020,10,17
0,0,Afghanistan,2020,10,16
32,1,Afghanistan,2020,10,15
66,0,Afghanistan,2020,10,14
129,3,Afghanistan,2020,10,13
96,4,Afghanistan,2020,10,12
0,0,Afghanistan,2020,10,11
10,1,Afghanistan,2020,10,10
77,2,Afghanistan,2020,10,9
68,1,Afghanistan,2020,10,8
62,2,Afghanistan,2020,10,7
145,5,Afghanistan,2020,10,6
44,0,Afghanistan,2020,10,5
7,4,Afghanistan,2020,10,4
5,0,Afghanistan,2020,10,3
17,0,Afghanistan,2020,10,2
14,0,Afghanistan,2020,10,1
15,2,Afghanistan,2020,9,30
12,3,Afghanistan,2020,9,29
0,0,Afghanistan,2020,9,28
35,0,Afghanistan,2020,9,27
6,2,Afghanistan,2020,9,26
16,0,Afghanistan,2020,9,25
25,5,Afghanistan,2020,9,24
71,2,Afghanistan,2020,9,23
30,3,Afghanistan,2020,9,22
0,0,Afghanistan,2020,9,21
125,4,Afghanistan,2020,9,20
47,1,Afghanistan,2020,9,19
0,0,Afghanistan,2020,9,18
17,0,Afghanistan,2020,9,17
40,10,Afghanistan,2020,9,16
99,6,Afghanistan,2020,9,15
75,0,Afghanistan,2020,9,14
35,0,Afghanistan,2020,9,13
34,0,Afghanistan,2020,9,12
28,0,Afghanistan,2020,9,11
24,2,Afghanistan,2020,9,10
26,3,Afghanistan,2020,9,9
96,3,Afghanistan,2020,9,8
74,2,Afghanistan,2020,9,7
20,0,Afghanistan,2020,9,6
16,0,Afghanistan,2020,9,5
45,1,Afghanistan,2020,9,4
38,3,Afghanistan,2020,9,3
9,0,Afghanistan,2020,9,2
34,4,Afghanistan,2020,9,1
19,0,Afghanistan,2020,8,31
3,0,Afghanistan,2020,8,30
11,1,Afghanistan,2020,8,29
3,0,Afghanistan,2020,8,28
55,4,Afghanistan,2020,8,27
1,0,Afghanistan,2020,8,26
71,10,Afghanistan,2020,8,25
0,0,Afghanistan,2020,8,24
105,2,Afghanistan,2020,8,23
38,0,Afghanistan,2020,8,22
97,2,Afghanistan,2020,8,21
160,8,Afghanistan,2020,8,20
0,0,Afghanistan,2020,8,19
3,0,Afghanistan,2020,8,18
45,5,Afghanistan,2020,8,17
120,7,Afghanistan,2020,8,16
7,0,Afghanistan,2020,8,15
79,9,Afghanistan,2020,8,14
76,10,Afghanistan,2020,8,13
215,32,Afghanistan,2020,8,12
0,0,Afghanistan,2020,8,11
0,0,Afghanistan,2020,8,10
39,5,Afghanistan,2020,8,9
78,9,Afghanistan,2020,8,8
41,0,Afghanistan,2020,8,7
67,4,Afghanistan,2020,8,6
82,6,Afghanistan,2020,8,5
37,4,Afghanistan,2020,8,4
0,1,Afghanistan,2020,8,3
0,0,Afghanistan,2020,8,2
168,12,Afghanistan,2020,8,1
71,0,Afghanistan,2020,7,31
0,0,Afghanistan,2020,7,30
103,1,Afghanistan,2020,7,29
105,1,Afghanistan,2020,7,28
106,10,Afghanistan,2020,7,27
121,13,Afghanistan,2020,7,26
108,35,Afghanistan,2020,7,25
13,0,Afghanistan,2020,7,24
188,21,Afghanistan,2020,7,23
112,4,Afghanistan,2020,7,22
140,5,Afghanistan,2020,7,21
174,17,Afghanistan,2020,7,20
12,17,Afghanistan,2020,7,19
219,32,Afghanistan,2020,7,18
76,21,Afghanistan,2020,7,17
254,49,Afghanistan,2020,7,16
285,33,Afghanistan,2020,7,15
4,2,Afghanistan,2020,7,14
0,0,Afghanistan,2020,7,13
85,16,Afghanistan,2020,7,12
458,37,Afghanistan,2020,7,11
255,20,Afghanistan,2020,7,10
59,1,Afghanistan,2020,7,9
210,16,Afghanistan,2020,7,8
433,56,Afghanistan,2020,7,7
279,38,Afghanistan,2020,7,6
348,7,Afghanistan,2020,7,5
302,12,Afghanistan,2020,7,4
186,33,Afghanistan,2020,7,3
319,28,Afghanistan,2020,7,2
279,13,Afghanistan,2020,7,1
271,12,Afghanistan,2020,6,30
351,18,Afghanistan,2020,6,29
165,20,Afghanistan,2020,6,28
276,8,Afghanistan,2020,6,27
460,36,Afghanistan,2020,6,26
234,21,Afghanistan,2020,6,25
338,20,Afghanistan,2020,6,24
310,17,Afghanistan,2020,6,23
409,12,Afghanistan,2020,6,22
546,21,Afghanistan,2020,6,21
346,2,Afghanistan,2020,6,20
658,42,Afghanistan,2020,6,19
564,13,Afghanistan,2020,6,18
783,13,Afghanistan,2020,6,17
761,7,Afghanistan,2020,6,16
664,20,Afghanistan,2020,6,15
556,5,Afghanistan,2020,6,14
656,20,Afghanistan,2020,6,13
747,21,Afghanistan,2020,6,12
684,21,Afghanistan,2020,6,11
542,15,Afghanistan,2020,6,10
575,12,Afghanistan,2020,6,9
791,30,Afghanistan,2020,6,8
582,18,Afghanistan,2020,6,7
915,9,Afghanistan,2020,6,6
787,6,Afghanistan,2020,6,5
758,24,Afghanistan,2020,6,4
759,5,Afghanistan,2020,6,3
545,8,Afghanistan,2020,6,2
680,8,Afghanistan,2020,6,1
866,3,Afghanistan,2020,5,31
623,11,Afghanistan,2020,5,30
580,8,Afghanistan,2020,5,29
625,7,Afghanistan,2020,5,28
658,1,Afghanistan,2020,5,27
