location_name,restriction_type,closure_start,closure_end
Abruzzo,Travel,2020-03-22,2020-05-04
Abruzzo,Lockdown,2020-03-22,2020-05-04
Abruzzo,Institutional,2020-03-22,2020-05-04
Abruzzo,Gathering,2020-03-22,2020-05-04
Abruzzo,Essential Business,2020-03-22,2020-05-04
Abruzzo,Non-Essential Business,2020-03-22,2020-05-04
Acre,Institutional,,
Acre,Gathering,,
Acre,Essential Business,,
Afghanistan,Institutional,,
Afghanistan,Gathering,,
Afghanistan,Essential Business,,
Aguascalientes,Lockdown,,
Aguascalientes,Institutional,,
Aguascalientes,Gathering,,
Aguascalientes,Essential Business,,
Alabama,Lockdown,,
Alabama,Institutional,,
Alabama,Gathering,,
Alabama,Essential Business,,
Alabama,Non-Essential Business,,
Alagoas,Institutional,,
Alagoas,Gathering,,
Alagoas,Essential Business,,
Alaska,Travel,2020-03-28,
Alaska,Lockdown,2020-03-28,
Alaska,Institutional,2020-03-28,
Alaska,Gathering,2020-03-28,
Alaska,Essential Business,2020-03-28,
Alaska,Non-Essential Business,2020-03-28,
Albania,Travel,2020-03-14,2020-06-01
Albania,Lockdown,2020-03-14,2020-06-01
Albania,Institutional,2020-03-14,2020-06-01
Albania,Gathering,2020-03-14,2020-06-01
Albania,Essential Business,2020-03-14,2020-06-01
Alberta,Institutional,,
Alberta,Gathering,,
Alberta,Essential Business,,
Algeria,Institutional,,
Algeria,Gathering,,
Algeria,Essential Business,,
Amapá,Lockdown,,
Amapá,Institutional,,
Amapá,Gathering,,
Amapá,Essential Business,,
Amazonas,Travel,2020-04-06,2020-06-01
Amazonas,Institutional,2020-04-06,2020-06-01
Amazonas,Gathering,2020-04-06,2020-06-01
Amazonas,Essential Business,2020-04-06,2020-06-01
Andalucia,Lockdown,,
Andalucia,Institutional,,
Andalucia,Gathering,,
Andalucia,Essential Business,,
Andhra Pradesh,Travel,2020-03-22,2020-05-21
Andhra Pradesh,Lockdown,2020-03-22,2020-05-21
Andhra Pradesh,Institutional,2020-03-22,2020-05-21
Andhra Pradesh,Gathering,2020-03-22,2020-05-21
Andhra Pradesh,Essential Business,2020-03-22,2020-05-21
Andorra,Institutional,,
Andorra,Essential Business,,
Angola,Travel,2020-03-27,2020-05-25
Angola,Lockdown,2020-03-27,2020-05-25
Angola,Institutional,2020-03-27,2020-05-25
Angola,Gathering,2020-03-27,2020-05-25
Angola,Essential Business,2020-03-27,2020-05-25
Aragon,Lockdown,,
Aragon,Institutional,,
Aragon,Gathering,,
Aragon,Essential Business,,
Argentina,Travel,2020-03-20,2020-04-27
Argentina,Lockdown,2020-03-20,2020-04-27
Argentina,Institutional,2020-03-20,2020-04-27
Argentina,Gathering,2020-03-20,2020-04-27
Argentina,Essential Business,2020-03-20,2020-04-27
Arizona,Lockdown,,
Arizona,Institutional,,
Arizona,Gathering,,
Arizona,Essential Business,,
Arkansas,Institutional,,
Arkansas,Gathering,,
Arkansas,Essential Business,,
Armenia,Travel,2020-04-03,2020-04-22
Armenia,Lockdown,2020-04-03,2020-04-22
Armenia,Institutional,2020-04-03,2020-04-22
Armenia,Gathering,2020-04-03,2020-04-22
Armenia,Essential Business,2020-04-03,2020-04-22
Arunachal Pradesh,Travel,2020-03-23,2020-05-04
Arunachal Pradesh,Lockdown,2020-03-23,2020-05-04
Arunachal Pradesh,Institutional,2020-03-23,2020-05-04
Arunachal Pradesh,Gathering,2020-03-23,2020-05-04
Arunachal Pradesh,Essential Business,2020-03-23,2020-05-04
Assam,Travel,2020-03-24,2020-05-05
Assam,Lockdown,2020-03-24,2020-05-05
Assam,Institutional,2020-03-24,2020-05-05
Assam,Gathering,2020-03-24,2020-05-05
Assam,Essential Business,2020-03-24,2020-05-05
Asturias,Lockdown,,
Asturias,Institutional,,
Asturias,Gathering,,
Asturias,Essential Business,,
Australia,Gathering,,
Australia,Essential Business,,
Austria,Lockdown,,
Austria,Institutional,,
