guariti,deceduti,totale_pos,rsa,tot_rsa,tot_dime,year,month,day
0,0,4,0,0,0,2020,3,3
0,0,5,0,0,0,2020,4,3
0,0,7,0,0,0,2020,5,3
0,0,10,0,0,0,2020,6,3
0,0,14,0,0,0,2020,7,3
0,0,23,0,0,0,2020,8,3
0,0,33,0,0,0,2020,9,3
0,0,50,0,0,0,2020,10,3
0,0,74,0,0,0,2020,11,3
0,1,109,0,0,4,2020,12,3
0,2,173,0,0,4,2020,3,13
0,2,261,0,0,5,2020,3,14
0,6,378,0,0,7,2020,3,15
0,7,440,0,0,7,2020,3,16
0,7,591,112,0,10,2020,3,17
0,8,719,111,0,12,2020,3,18
0,12,857,160,0,20,2020,3,19
0,13,1067,224,0,29,2020,3,20
0,28,1306,274,0,30,2020,3,21
0,35,1480,89,0,50,2020,3,22
0,41,1611,345,0,68,2020,3,23
0,56,1824,324,0,79,2020,3,24
0,74,2001,347,0,90,2020,3,25
0,86,2122,364,0,117,2020,3,26
5,102,2236,365,0,125,2020,3,27
5,120,2340,365,0,151,2020,3,28
6,129,2427,256,0,172,2020,3,29
6,147,2529,219,365,178,2020,3,30
6,164,2574,140,216,193,2020,3,31
7,173,2671,179,269,214,2020,1,4
7,187,2785,206,295,229,2020,2,4
9,204,2889,206,300,246,2020,3,4
9,210,2984,227,321,257,2020,4,4
10,217,3042,233,327,273,2020,5,4
11,230,3111,242,336,281,2020,6,4
73,244,3236,297,395,342,2020,7,4
127,255,3342,317,403,407,2020,8,4
176,268,3431,352,436,462,2020,9,4
252,275,3524,361,430,547,2020,10,4
269,284,3669,435,504,569,2020,11,4
313,293,3734,453,522,621,2020,12,4
429,300,3797,455,523,731,2020,4,13
449,310,3815,452,520,749,2020,4,14
485,318,3891,489,550,798,2020,4,15
541,322,3955,507,568,879,2020,4,16
702,342,4041,523,579,1040,2020,4,17
752,348,4097,535,582,1094,2020,4,18
865,360,4183,531,573,1201,2020,4,19
966,366,4236,529,570,1295,2020,4,20
985,376,4254,530,571,1329,2020,4,21
1034,381,4289,535,576,1391,2020,4,22
1110,382,4368,536,577,1474,2020,4,23
1199,389,4413,533,574,1560,2020,4,24
1340,400,4471,566,604,1694,2020,4,25
1492,405,4528,539,568,1807,2020,4,26
1577,407,4626,559,588,1881,2020,4,27
1741,412,4657,558,588,2048,2020,4,28
1889,416,4697,528,557,2190,2020,4,29
2041,418,4741,528,557,2328,2020,4,30
2133,423,4759,519,550,2416,2020,1,5
2209,425,4807,520,548,2474,2020,2,5
2335,429,4869,505,523,2571,2020,3,5
2451,431,4897,504,516,2663,2020,4,5
2572,434,4906,501,501,2787,2020,5,5
2657,438,4954,471,471,2861,2020,6,5
2737,439,5009,479,479,2935,2020,7,5
2779,440,5039,477,477,2976,2020,8,5
2834,441,5077,479,479,3025,2020,9,5
2888,444,5111,467,467,3070,2020,10,5
2950,446,5134,459,459,3122,2020,11,5
3026,448,5162,444,444,3194,2020,12,5
3156,449,5195,428,428,3305,2020,5,13
3235,451,5233,414,414,3381,2020,5,14
3361,454,5265,403,403,3496,2020,5,15
3447,456,5284,380,380,3568,2020,5,16
3511,456,5304,358,358,3628,2020,5,17
3613,456,5317,353,358,3717,2020,5,18
3665,458,5327,346,346,3766,2020,5,19
3782,459,5346,298,298,3881,2020,5,20
3896,459,5361,274,274,3969,2020,5,21
4023,459,5377,267,267,4090,2020,5,22
4097,460,5387,251,251,4160,2020,5,23
4153,461,5399,238,238,4211,2020,5,24
4192,462,5400,235,235,4242,2020,5,25
4210,465,5412,237,237,4257,2020,5,26
4267,466,5419,223,223,4313,2020,5,27
4301,466,5423,222,222,4344,2020,5,28
4403,466,5429,217,217,4431,2020,5,29
4470,466,5431,207,207,4487,2020,5,30
4576,466,5432,153,153,4588,2020,5,31
4596,466,5435,146,146,4608,2020,1,6
4602,467,5435,144,144,4617,2020,2,6
4698,467,5437,95,95,4708,2020,3,6
4715,468,5438,89,89,4725,2020,4,6
4821,468,5438,55,55,4824,2020,5,6
4844,468,5443,44,44,4847,2020,6,6
4871,468,5444,41,41,4873,2020,7,6
4874,468,5445,39,39,4876,2020,8,6
4876,468,5448,37,37,4879,2020,9,6
4880,468,5448,39,39,4883,2020,10,6
4890,468,5450,30,30,4894,2020,11,6
4898,468,5452,29,29,4901,2020,12,6
4900,468,5455,31,31,4902,2020,6,13
4906,468,5456,33,33,4908,2020,6,14
4906,469,5457,32,32,4908,2020,6,15
4910,469,5457,35,35,4913,2020,6,16
4921,469,5458,31,31,4923,2020,6,17
4928,469,5466,25,25,4928,2020,6,18
4932,470,5467,21,21,4933,2020,6,19
4938,470,5467,19,19,4938,2020,6,20
4941,470,5472,23,23,4941,2020,6,21
4942,470,5473,23,23,4942,2020,6,22
4946,470,5474,23,23,4946,2020,6,23
4952,470,5474,23,23,4952,2020,6,24
4955,470,5477,23,23,4955,2020,6,25
4959,470,5481,19,19,4959,2020,6,26
4961,470,5482,20,20,4961,2020,6,27
4961,470,5485,21,21,4961,2020,6,28
4962,470,5485,21,21,4962,2020,6,29
4965,470,5485,21,21,4965,2020,6,30
4969,470,5486,21,21,4969,2020,1,7
4971,470,5487,22,22,4969,2020,2,7
4977,470,5493,17,17,4969,2020,3,7
4977,470,5495,19,19,4969,2020,4,7
4983,470,5495,17,17,4969,2020,5,7
4988,470,5495,14,14,4969,2020,6,7
4988,470,5498,13,13,4969,2020,7,7
4991,470,5498,12,12,4969,2020,8,7
4994,470,5498,12,12,4970,2020,9,7
