,dateRep,cases,deaths,countriesAndTerritories
0,2020-10-20,87,5,Afghanistan
1,2020-10-19,59,4,Afghanistan
2,2020-10-18,68,3,Afghanistan
3,2020-10-17,47,4,Afghanistan
4,2020-10-16,0,0,Afghanistan
5,2020-10-15,32,1,Afghanistan
6,2020-10-14,66,0,Afghanistan
7,2020-10-13,129,3,Afghanistan
8,2020-10-12,96,4,Afghanistan
9,2020-10-11,0,0,Afghanistan
10,2020-10-10,10,1,Afghanistan
11,2020-10-09,77,2,Afghanistan
12,2020-10-08,68,1,Afghanistan
13,2020-10-07,62,2,Afghanistan
14,2020-10-06,145,5,Afghanistan
15,2020-10-05,44,0,Afghanistan
16,2020-10-04,7,4,Afghanistan
17,2020-10-03,5,0,Afghanistan
18,2020-10-02,17,0,Afghanistan
19,2020-10-01,14,0,Afghanistan
20,2020-09-30,15,2,Afghanistan
21,2020-09-29,12,3,Afghanistan
22,2020-09-28,0,0,Afghanistan
23,2020-09-27,35,0,Afghanistan
24,2020-09-26,6,2,Afghanistan
25,2020-09-25,16,0,Afghanistan
26,2020-09-24,25,5,Afghanistan
27,2020-09-23,71,2,Afghanistan
28,2020-09-22,30,3,Afghanistan
29,2020-09-21,0,0,Afghanistan
30,2020-09-20,125,4,Afghanistan
31,2020-09-19,47,1,Afghanistan
32,2020-09-18,0,0,Afghanistan
33,2020-09-17,17,0,Afghanistan
34,2020-09-16,40,10,Afghanistan
35,2020-09-15,99,6,Afghanistan
36,2020-09-14,75,0,Afghanistan
37,2020-09-13,35,0,Afghanistan
38,2020-09-12,34,0,Afghanistan
39,2020-09-11,28,0,Afghanistan
40,2020-09-10,24,2,Afghanistan
41,2020-09-09,26,3,Afghanistan
42,2020-09-08,96,3,Afghanistan
43,2020-09-07,74,2,Afghanistan
44,2020-09-06,20,0,Afghanistan
45,2020-09-05,16,0,Afghanistan
46,2020-09-04,45,1,Afghanistan
47,2020-09-03,38,3,Afghanistan
48,2020-09-02,9,0,Afghanistan
49,2020-09-01,34,4,Afghanistan
50,2020-08-31,19,0,Afghanistan
51,2020-08-30,3,0,Afghanistan
52,2020-08-29,11,1,Afghanistan
53,2020-08-28,3,0,Afghanistan
54,2020-08-27,55,4,Afghanistan
55,2020-08-26,1,0,Afghanistan
56,2020-08-25,71,10,Afghanistan
57,2020-08-24,0,0,Afghanistan
58,2020-08-23,105,2,Afghanistan
59,2020-08-22,38,0,Afghanistan
60,2020-08-21,97,2,Afghanistan
61,2020-08-20,160,8,Afghanistan
62,2020-08-19,0,0,Afghanistan
63,2020-08-18,3,0,Afghanistan
64,2020-08-17,45,5,Afghanistan
65,2020-08-16,120,7,Afghanistan
66,2020-08-15,7,0,Afghanistan
67,2020-08-14,79,9,Afghanistan
68,2020-08-13,76,10,Afghanistan
69,2020-08-12,215,32,Afghanistan
70,2020-08-11,0,0,Afghanistan
71,2020-08-10,0,0,Afghanistan
72,2020-08-09,39,5,Afghanistan
73,2020-08-08,78,9,Afghanistan
74,2020-08-07,41,0,Afghanistan
75,2020-08-06,67,4,Afghanistan
76,2020-08-05,82,6,Afghanistan
77,2020-08-04,37,4,Afghanistan
78,2020-08-03,0,1,Afghanistan
79,2020-08-02,0,0,Afghanistan
80,2020-08-01,168,12,Afghanistan
81,2020-07-31,71,0,Afghanistan
82,2020-07-30,0,0,Afghanistan
83,2020-07-29,103,1,Afghanistan
84,2020-07-28,105,1,Afghanistan
85,2020-07-27,106,10,Afghanistan
86,2020-07-26,121,13,Afghanistan
87,2020-07-25,108,35,Afghanistan
88,2020-07-24,13,0,Afghanistan
89,2020-07-23,188,21,Afghanistan
90,2020-07-22,112,4,Afghanistan
91,2020-07-21,140,5,Afghanistan
92,2020-07-20,174,17,Afghanistan
93,2020-07-19,12,17,Afghanistan
94,2020-07-18,219,32,Afghanistan
95,2020-07-17,76,21,Afghanistan
96,2020-07-16,254,49,Afghanistan
97,2020-07-15,285,33,Afghanistan
98,2020-07-14,4,2,Afghanistan
99,2020-07-13,0,0,Afghanistan
100,2020-07-12,85,16,Afghanistan
101,2020-07-11,458,37,Afghanistan
102,2020-07-10,255,20,Afghanistan
103,2020-07-09,59,1,Afghanistan
104,2020-07-08,210,16,Afghanistan
105,2020-07-07,433,56,Afghanistan
106,2020-07-06,279,38,Afghanistan
107,2020-07-05,348,7,Afghanistan
108,2020-07-04,302,12,Afghanistan
109,2020-07-03,186,33,Afghanistan
110,2020-07-02,319,28,Afghanistan
111,2020-07-01,279,13,Afghanistan
112,2020-06-30,271,12,Afghanistan
113,2020-06-29,351,18,Afghanistan
114,2020-06-28,165,20,Afghanistan
115,2020-06-27,276,8,Afghanistan
116,2020-06-26,460,36,Afghanistan
117,2020-06-25,234,21,Afghanistan
118,2020-06-24,338,20,Afghanistan
119,2020-06-23,310,17,Afghanistan
120,2020-06-22,409,12,Afghanistan
121,2020-06-21,546,21,Afghanistan
122,2020-06-20,346,2,Afghanistan
123,2020-06-19,658,42,Afghanistan
124,2020-06-18,564,13,Afghanistan
125,2020-06-17,783,13,Afghanistan
126,2020-06-16,761,7,Afghanistan
127,2020-06-15,664,20,Afghanistan
128,2020-06-14,556,5,Afghanistan
129,2020-06-13,656,20,Afghanistan
130,2020-06-12,747,21,Afghanistan
131,2020-06-11,684,21,Afghanistan
132,2020-06-10,542,15,Afghanistan
133,2020-06-09,575,12,Afghanistan
134,2020-06-08,791,30,Afghanistan
135,2020-06-07,582,18,Afghanistan
136,2020-06-06,915,9,Afghanistan
137,2020-06-05,787,6,Afghanistan
138,2020-06-04,758,24,Afghanistan
139,2020-06-03,759,5,Afghanistan
140,2020-06-02,545,8,Afghanistan
141,2020-06-01,680,8,Afghanistan
142,2020-05-31,866,3,Afghanistan
143,2020-05-30,623,11,Afghanistan
144,2020-05-29,580,8,Afghanistan
145,2020-05-28,625,7,Afghanistan
146,2020-05-27,658,1,Afghanistan
147,2020-05-26,591,1,Afghanistan
148,2020-05-25,584,2,Afghanistan
149,2020-05-24,782,11,Afghanistan
150,2020-05-23,540,12,Afghanistan
151,2020-05-22,531,6,Afghanistan
152,2020-05-21,492,9,Afghanistan
153,2020-05-20,581,5,Afghanistan
154,2020-05-19,408,4,Afghanistan
155,2020-05-18,262,1,Afghanistan
156,2020-05-17,0,0,Afghanistan
157,2020-05-16,1063,32,Afghanistan
158,2020-05-15,113,6,Afghanistan
159,2020-05-14,259,3,Afghanistan
160,2020-05-13,280,5,Afghanistan
161,2020-05-12,285,2,Afghanistan
162,2020-05-11,369,5,Afghanistan
163,2020-05-10,255,6,Afghanistan
164,2020-05-09,215,3,Afghanistan
165,2020-05-08,171,2,Afghanistan
166,2020-05-07,168,9,Afghanistan
167,2020-05-06,330,5,Afghanistan
168,2020-05-05,190,5,Afghanistan
169,2020-05-04,235,13,Afghanistan
170,2020-05-03,134,4,Afghanistan
171,2020-05-02,164,4,Afghanistan
172,2020-05-01,222,4,Afghanistan
173,2020-04-30,122,0,Afghanistan
174,2020-04-29,124,3,Afghanistan
175,2020-04-28,172,0,Afghanistan
176,2020-04-27,68,10,Afghanistan
177,2020-04-26,112,4,Afghanistan
178,2020-04-25,70,1,Afghanistan
179,2020-04-24,105,2,Afghanistan
180,2020-04-23,84,4,Afghanistan
181,2020-04-22,61,1,Afghanistan
182,2020-04-21,35,2,Afghanistan
183,2020-04-20,88,3,Afghanistan
184,2020-04-19,63,0,Afghanistan
185,2020-04-18,51,1,Afghanistan
186,2020-04-17,10,4,Afghanistan
187,2020-04-16,70,2,Afghanistan
188,2020-04-15,49,2,Afghanistan
189,2020-04-14,58,3,Afghanistan
190,2020-04-13,52,0,Afghanistan
191,2020-04-12,34,3,Afghanistan
192,2020-04-11,37,0,Afghanistan
193,2020-04-10,61,1,Afghanistan
194,2020-04-09,56,3,Afghanistan
195,2020-04-08,30,4,Afghanistan
196,2020-04-07,38,0,Afghanistan
197,2020-04-06,29,2,Afghanistan
198,2020-04-05,35,1,Afghanistan
199,2020-04-04,0,0,Afghanistan
200,2020-04-03,43,0,Afghanistan
201,2020-04-02,26,0,Afghanistan
202,2020-04-01,25,0,Afghanistan
203,2020-03-31,27,0,Afghanistan
204,2020-03-30,8,1,Afghanistan
205,2020-03-29,15,1,Afghanistan
206,2020-03-28,16,1,Afghanistan
207,2020-03-27,0,0,Afghanistan
208,2020-03-26,33,0,Afghanistan
209,2020-03-25,2,0,Afghanistan
210,2020-03-24,6,1,Afghanistan
211,2020-03-23,10,0,Afghanistan
212,2020-03-22,0,0,Afghanistan
213,2020-03-21,2,0,Afghanistan
214,2020-03-20,0,0,Afghanistan
215,2020-03-19,0,0,Afghanistan
216,2020-03-18,1,0,Afghanistan
217,2020-03-17,5,0,Afghanistan
218,2020-03-16,6,0,Afghanistan
219,2020-03-15,3,0,Afghanistan
220,2020-03-11,3,0,Afghanistan
221,2020-03-08,3,0,Afghanistan
222,2020-03-02,0,0,Afghanistan
223,2020-03-01,0,0,Afghanistan
224,2020-02-29,0,0,Afghanistan
225,2020-02-28,0,0,Afghanistan
226,2020-02-27,0,0,Afghanistan
227,2020-02-26,0,0,Afghanistan
228,2020-02-25,1,0,Afghanistan
229,2020-02-24,0,0,Afghanistan
230,2020-02-23,0,0,Afghanistan
231,2020-02-22,0,0,Afghanistan
232,2020-02-21,0,0,Afghanistan
233,2020-02-20,0,0,Afghanistan
234,2020-02-19,0,0,Afghanistan
235,2020-02-18,0,0,Afghanistan
236,2020-02-17,0,0,Afghanistan
237,2020-02-16,0,0,Afghanistan
238,2020-02-15,0,0,Afghanistan
239,2020-02-14,0,0,Afghanistan
240,2020-02-13,0,0,Afghanistan
241,2020-02-12,0,0,Afghanistan
242,2020-02-11,0,0,Afghanistan
243,2020-02-10,0,0,Afghanistan
244,2020-02-09,0,0,Afghanistan
245,2020-02-08,0,0,Afghanistan
246,2020-02-07,0,0,Afghanistan
247,2020-02-06,0,0,Afghanistan
248,2020-02-05,0,0,Afghanistan
249,2020-02-04,0,0,Afghanistan
250,2020-02-03,0,0,Afghanistan
251,2020-02-02,0,0,Afghanistan
252,2020-02-01,0,0,Afghanistan
253,2020-01-31,0,0,Afghanistan
254,2020-01-30,0,0,Afghanistan
255,2020-01-29,0,0,Afghanistan
256,2020-01-28,0,0,Afghanistan
257,2020-01-27,0,0,Afghanistan
258,2020-01-26,0,0,Afghanistan
259,2020-01-25,0,0,Afghanistan
260,2020-01-24,0,0,Afghanistan
261,2020-01-23,0,0,Afghanistan
262,2020-01-22,0,0,Afghanistan
263,2020-01-21,0,0,Afghanistan
264,2020-01-20,0,0,Afghanistan
265,2020-01-19,0,0,Afghanistan
266,2020-01-18,0,0,Afghanistan
267,2020-01-17,0,0,Afghanistan
268,2020-01-16,0,0,Afghanistan
269,2020-01-15,0,0,Afghanistan
270,2020-01-14,0,0,Afghanistan
271,2020-01-13,0,0,Afghanistan
272,2020-01-12,0,0,Afghanistan
273,2020-01-11,0,0,Afghanistan
274,2020-01-10,0,0,Afghanistan
275,2020-01-09,0,0,Afghanistan
276,2020-01-08,0,0,Afghanistan
277,2020-01-07,0,0,Afghanistan
278,2020-01-06,0,0,Afghanistan
279,2020-01-05,0,0,Afghanistan
280,2020-01-04,0,0,Afghanistan
281,2020-01-03,0,0,Afghanistan
282,2020-01-02,0,0,Afghanistan
283,2020-01-01,0,0,Afghanistan
284,2019-12-31,0,0,Afghanistan
285,2020-10-20,295,3,Albania
286,2020-10-19,281,3,Albania
287,2020-10-18,273,5,Albania
288,2020-10-17,289,4,Albania
289,2020-10-16,257,5,Albania
290,2020-10-15,203,5,Albania
291,2020-10-14,182,5,Albania
292,2020-10-13,171,4,Albania
293,2020-10-12,168,4,Albania
294,2020-10-11,165,3,Albania
295,2020-10-10,167,2,Albania
296,2020-10-09,169,4,Albania
297,2020-10-08,162,4,Albania
298,2020-10-07,158,3,Albania
299,2020-10-06,144,4,Albania
300,2020-10-05,149,4,Albania
301,2020-10-04,152,3,Albania
302,2020-10-03,159,1,Albania
303,2020-10-02,157,1,Albania
304,2020-10-01,131,3,Albania
305,2020-09-30,127,4,Albania
306,2020-09-29,132,3,Albania
307,2020-09-28,106,2,Albania
308,2020-09-27,108,2,Albania
309,2020-09-26,124,3,Albania
310,2020-09-25,134,0,Albania
311,2020-09-24,121,3,Albania
312,2020-09-23,131,3,Albania
313,2020-09-22,150,2,Albania
314,2020-09-21,159,4,Albania
315,2020-09-20,153,5,Albania
316,2020-09-19,125,5,Albania
317,2020-09-18,132,5,Albania
318,2020-09-17,144,3,Albania
319,2020-09-16,152,2,Albania
320,2020-09-15,167,4,Albania
321,2020-09-14,168,4,Albania
322,2020-09-13,164,3,Albania
323,2020-09-12,161,3,Albania
324,2020-09-11,156,2,Albania
325,2020-09-10,151,1,Albania
326,2020-09-09,147,2,Albania
327,2020-09-08,151,3,Albania
328,2020-09-07,153,4,Albania
329,2020-09-06,135,6,Albania
330,2020-09-05,123,5,Albania
331,2020-09-04,116,5,Albania
