location_name,location_id,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date
Abruzzo,35507,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Acre,4750,,,,,2020-03-16,,2020-03-20,,2020-03-17,,2020-03-17,2020-06-22
Afghanistan,160,,,,,2020-03-14,,2020-03-18,,2020-03-18,,,
Aguascalientes,4643,,,2020-06-22,,2020-03-19,,2020-03-13,,2020-03-23,,2020-03-30,
Alabama,523,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30
Alagoas,4751,,,,,2020-03-17,,2020-03-16,,2020-04-07,,2020-04-07,2020-05-06
Alaska,524,2020-03-28,,2020-03-28,2020-04-24,2020-03-16,,2020-03-24,2020-05-22,2020-03-17,2020-05-22,2020-03-28,2020-04-24
Albania,43,2020-03-14,2020-06-01,2020-03-12,2020-06-01,2020-03-08,,2020-03-12,,2020-03-11,,2020-03-14,2020-04-20
Alberta,43858,,,,,2020-03-16,,2020-03-12,,2020-03-18,,,
Algeria,139,,,,,2020-03-12,,2020-03-17,,2020-03-22,,,
Amapá,4753,,,2020-05-19,,2020-03-18,,2020-03-20,,2020-03-20,,2020-04-04,2020-06-16
Amazonas,4752,2020-04-06,2020-06-01,,,2020-03-16,,2020-03-31,,2020-03-19,,2020-03-24,2020-06-01
Andalucia,60357,,,2020-03-15,2020-05-18,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Andhra Pradesh,4841,2020-03-22,2020-05-21,2020-03-22,2020-06-01,2020-03-18,,2020-03-22,,2020-03-22,,2020-03-22,2020-05-21
Andorra,74,,,,,2020-03-16,,,,2020-03-13,,2020-03-16,2020-04-20
Angola,168,2020-03-27,2020-05-25,2020-03-27,2020-05-25,2020-03-24,,2020-03-24,,2020-03-27,,2020-03-27,2020-05-25
Aragon,60358,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Argentina,97,2020-03-20,2020-04-27,2020-03-20,,2020-03-16,,2020-03-15,,2020-03-20,,2020-03-20,
Arizona,525,,,2020-03-30,2020-05-16,2020-03-16,,2020-03-30,2020-05-16,2020-03-30,2020-05-16,,
Arkansas,526,,,,,2020-03-17,2020-08-24,2020-03-27,2020-06-18,2020-03-19,,,
Armenia,33,2020-04-03,2020-04-22,2020-03-24,2020-05-04,2020-03-13,,2020-03-16,,2020-03-24,,2020-03-24,2020-04-23
Arunachal Pradesh,4842,2020-03-23,2020-05-04,2020-03-23,2020-06-01,2020-03-17,,2020-03-23,,2020-03-17,,2020-03-17,2020-05-04
Assam,4843,2020-03-24,2020-05-05,2020-03-24,2020-06-01,2020-03-15,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-21
Asturias,60365,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Australia,71,,,,,,,2020-03-20,,2020-03-23,,,
Austria,75,,,2020-03-16,2020-05-01,2020-03-16,2020-06-03,2020-03-10,,2020-03-16,2020-05-01,2020-03-16,2020-04-13
Azad Jammu & Kashmir,53615,,,2020-03-24,2020-05-09,2020-03-13,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
Azerbaijan,34,2020-02-29,2020-05-18,2020-04-05,,2020-03-03,,2020-03-24,,2020-03-14,,2020-03-14,2020-05-31
Baden-Württemberg,60377,,,2020-03-21,2020-05-11,2020-03-17,,2020-03-21,,2020-03-21,,2020-03-21,2020-04-20
Bahamas,106,2020-03-20,2020-06-01,2020-03-24,2020-06-08,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-20,2020-06-08
Bahia,4754,,,,,2020-03-17,,2020-03-27,,,,,
Bahrain,140,,,,,2020-02-26,,2020-03-18,,2020-03-18,,2020-03-26,2020-04-09
Baja California,4644,,,2020-06-22,,2020-03-19,,2020-03-18,,2020-03-23,,2020-03-30,
Baja California Sur,4645,,,2020-06-23,,2020-03-19,,2020-03-16,,2020-03-23,,2020-03-30,
Balearic Islands,60363,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Balochistan,53616,,,2020-03-24,2020-05-09,2020-02-27,,2020-03-24,,2020-03-24,,2020-03-24,2020-04-15
Bangladesh,161,2020-03-16,2020-06-01,2020-03-26,2020-06-01,2020-03-17,,2020-03-19,,2020-03-26,,2020-03-26,2020-05-05
Barbados,107,,,2020-04-03,2020-05-04,2020-03-25,2020-06-15,2020-03-17,,2020-03-28,2020-06-22,2020-03-28,2020-05-04
Basilicata,35511,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Basque Country,60374,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-18,2020-03-15,2020-04-13
Bavaria,60378,,,2020-03-21,2020-05-06,2020-03-16,,2020-03-21,,2020-03-17,,2020-03-21,2020-04-27
Beijing,492,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15,2020-01-31,2020-04-15
Belarus,57,,,,,,,,,,,,
Belgium,76,,,2020-03-18,2020-06-08,2020-03-14,2020-09-01,2020-03-13,,2020-03-13,,2020-03-18,2020-05-11
Benin,200,,,,,2020-03-30,,2020-03-18,,,,,
Berlin,60379,,,2020-03-23,2020-05-09,2020-03-23,2020-05-29,2020-03-23,,2020-03-14,,2020-03-23,2020-04-22
Bihar,4844,2020-03-23,2020-05-19,2020-03-23,2020-06-01,2020-03-13,,2020-03-23,,2020-03-23,,2020-03-23,2020-05-08
Bolivia (Plurinational State of),121,2020-03-27,,2020-03-26,,2020-03-12,,2020-03-12,,2020-03-16,,2020-03-20,2020-07-01
Bosnia and Herzegovina,44,2020-03-19,2020-05-29,2020-03-22,2020-05-21,2020-03-12,,2020-03-18,,2020-03-18,,2020-03-20,2020-04-29
Brandenburg,60380,,,2020-03-17,2020-05-09,2020-03-18,2020-05-25,2020-03-17,,2020-03-17,,2020-03-17,2020-04-22
Brazil,135,,,,,2020-03-24,,,,,,,
Bremen,60381,,,2020-03-22,2020-05-14,2020-03-16,2020-05-25,2020-03-22,,2020-03-20,,2020-03-20,2020-04-20
British Columbia,43859,,,,,2020-03-17,2020-06-01,2020-03-16,,2020-03-20,,,
Bulgaria,45,2020-03-21,,2020-03-17,2020-05-03,2020-03-13,,2020-03-13,,2020-03-13,,2020-03-13,2020-05-06
Burkina Faso,201,,,,,2020-03-16,,2020-03-13,,,,,
Cabo Verde,203,,,,,2020-03-27,,2020-03-16,,2020-03-16,,,
Calabria,35512,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
California,527,,,2020-03-19,,2020-03-19,,2020-03-11,,2020-03-19,,2020-03-19,
Cameroon,202,,,,,2020-03-18,,2020-03-18,,,,,
Campania,35509,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
Campeche,4646,,,2020-06-22,,2020-03-18,,2020-03-19,,2020-03-30,,2020-03-30,
Canada,101,,,,,2020-03-23,,2020-03-23,,,,,
Canary Islands,60364,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Cantabria,60359,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,2020-06-22,2020-03-15,2020-04-13
Castile and León,60367,,,2020-03-15,2020-05-25,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Castilla-La Mancha,60360,,,2020-03-15,2020-05-18,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Catalonia,60368,,,2020-03-15,2020-05-25,2020-03-14,,2020-03-11,,2020-03-12,2020-06-22,2020-03-15,2020-05-25
Ceará,4755,,,2020-05-05,,2020-03-16,,2020-03-16,,2020-03-20,,2020-03-20,2020-06-08
Central African Republic,169,,,,,2020-03-27,,2020-03-13,,2020-03-26,,,
Chad,204,,,,,2020-03-20,,2020-03-19,,2020-03-23,,,
Chhattisgarh,4846,2020-03-25,2020-05-28,2020-03-21,2020-06-01,2020-03-13,,2020-03-21,,2020-03-21,,2020-03-21,2020-05-18
Chiapas,4649,,,2020-06-22,,2020-03-22,,2020-03-15,,2020-03-23,,2020-03-30,
Chihuahua,4650,,,2020-06-22,,2020-03-23,,2020-03-25,,2020-03-24,,2020-03-24,
Chile,98,,,,,2020-03-16,,2020-03-16,,2020-03-21,,,
China,6,,,,,,,,,,,,
Chongqing,493,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24,2020-02-08,2020-03-24
Coahuila,4647,,,2020-06-22,,2020-03-19,,2020-03-18,,2020-03-23,,2020-03-30,
Colima,4648,,,2020-06-22,,2020-03-16,,2020-03-16,,2020-03-18,,2020-03-18,
Colombia,125,2020-03-25,2020-06-15,2020-03-25,2020-06-15,2020-03-16,,2020-03-16,,2020-03-19,,2020-03-25,2020-04-27
Colorado,528,,,2020-03-26,2020-05-09,2020-03-23,,2020-03-19,,2020-03-17,,2020-03-26,2020-05-09
Community of Madrid,60361,,,2020-03-15,2020-05-25,2020-03-11,,2020-03-15,,2020-03-13,,2020-03-13,2020-04-13
Comoros,176,,,,,2020-03-20,,2020-03-16,,,,,
Congo,170,,,2020-03-31,2020-05-18,2020-03-19,,2020-03-19,,2020-03-19,,2020-03-31,2020-05-18
Connecticut,529,,,,,2020-03-17,,2020-03-12,,2020-03-16,,2020-03-23,2020-05-20
Costa Rica,126,2020-04-08,2020-04-13,2020-03-24,2020-05-01,2020-03-16,,2020-03-09,,2020-03-23,,,
Croatia,46,2020-03-23,2020-05-25,2020-03-17,2020-05-11,2020-03-16,2020-05-25,2020-03-09,,2020-03-19,,2020-03-19,2020-04-27
Cuba,109,2020-04-11,,,,2020-03-24,,2020-03-20,,2020-03-24,,,
Cyprus,77,,,2020-03-24,2020-05-04,2020-03-13,2020-05-21,2020-03-24,,2020-03-24,,2020-03-24,2020-05-04
Czechia,47,,,2020-03-16,2020-04-20,2020-03-10,,2020-03-10,,2020-03-10,,2020-03-14,2020-04-20
Côte d'Ivoire,205,,,,,2020-03-16,2020-07-31,2020-03-16,,2020-03-18,2020-07-31,,
Delaware,530,,,2020-03-24,2020-06-01,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-24,2020-05-08
Delhi,4849,2020-03-23,2020-04-26,2020-03-23,2020-06-01,2020-03-19,,2020-03-23,,2020-03-20,,2020-03-20,2020-04-26
Democratic Republic of the Congo,171,,,,,2020-03-19,,2020-03-19,,2020-03-19,,,
Denmark,78,,,,,2020-03-16,2020-09-10,2020-03-18,,2020-03-18,,,
District of Columbia,531,,,2020-03-30,2020-05-29,2020-03-16,,2020-03-13,,2020-03-16,,2020-03-25,2020-05-29
Distrito Federal,4756,,,,,2020-03-12,,2020-03-12,,2020-03-15,,2020-03-19,2020-05-27
Djibouti,177,,,2020-03-23,2020-05-17,2020-03-19,,2020-03-22,,2020-03-22,,2020-03-23,2020-05-17
Dominican Republic,111,2020-03-19,2020-04-13,,,2020-03-19,,2020-03-25,,2020-03-19,,2020-03-19,2020-05-20
Durango,4652,,,2020-04-19,,2020-03-22,,2020-04-02,,2020-03-29,,2020-03-30,
East Asia and Pacific,60898,,,,,,,,,,,,
Ecuador,122,2020-03-18,,2020-03-17,,2020-03-13,,2020-03-15,,2020-03-15,,2020-03-17,
Egypt,141,,,,,2020-03-15,,2020-03-09,,2020-03-24,,,
El Salvador,127,,,2020-03-11,2020-06-16,2020-03-11,,2020-03-11,,2020-03-14,,,
Emilia-Romagna,35502,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-01,,2020-03-07,,2020-03-07,2020-06-15,2020-03-11,2020-04-14
England,4749,,,2020-03-23,2020-06-01,2020-03-23,,2020-03-23,,2020-03-23,,2020-03-23,2020-06-01
Equatorial Guinea,172,,,2020-03-31,,2020-03-17,,2020-03-17,,2020-03-23,,2020-03-31,2020-06-15
Espírito Santo,4757,,,,,2020-03-16,,2020-03-17,,2020-03-17,,2020-03-20,
Estonia,58,,,,,2020-03-16,2020-05-15,2020-03-13,,2020-03-13,2020-07-01,,
Eswatini,197,,,2020-03-27,2020-06-05,2020-03-17,,2020-03-17,,2020-03-27,,2020-03-27,2020-04-15
Ethiopia,179,,,,,2020-03-16,,2020-03-16,,2020-03-20,,,
Europe and Central Asia,60899,,,,,,,,,,,,
Extremadura,60362,,,2020-03-15,2020-05-11,2020-03-14,,2020-03-15,,2020-03-15,,2020-03-15,2020-04-13
Finland,79,2020-03-25,2020-05-29,,,2020-03-18,,2020-03-12,,2020-03-18,2020-06-01,2020-04-04,2020-06-01
Florida,532,,,2020-04-03,2020-05-18,2020-03-17,,2020-04-03,2020-06-05,2020-03-17,2020-09-25,,
France,80,2020-03-17,2020-05-11,2020-03-18,2020-05-11,2020-03-13,2020-05-25,2020-03-04,,2020-03-15,,2020-03-15,2020-05-11
Friuli-Venezia Giulia,35501,2020-03-22,2020-05-04,2020-03-11,2020-06-03,2020-03-05,,2020-03-11,,2020-03-11,2020-06-15,2020-03-11,2020-04-14
