giorno,guariti,deceduti,totale_pos,pos_att,rsa,casa_cura,tot_rsa,tot_dime
03/03/2020,0,0,4,0,0,0,0,0
04/03/2020,0,0,5,0,0,0,0,0
05/03/2020,0,0,7,0,0,0,0,0
06/03/2020,0,0,10,0,0,0,0,0
07/03/2020,0,0,14,0,0,0,0,0
08/03/2020,0,0,23,0,0,0,0,0
09/03/2020,0,0,33,0,0,0,0,0
10/03/2020,0,0,50,0,0,0,0,0
11/03/2020,0,0,74,0,0,0,0,0
12/03/2020,0,1,109,104,0,0,0,4
13/03/2020,0,2,173,167,0,0,0,4
14/03/2020,0,2,261,254,0,0,0,5
15/03/2020,0,6,378,365,0,0,0,7
16/03/2020,0,7,440,426,0,0,0,7
17/03/2020,0,7,591,574,112,0,0,10
18/03/2020,0,8,719,699,111,0,0,12
19/03/2020,0,12,857,825,160,0,0,20
20/03/2020,0,13,1067,1054,224,0,0,29
21/03/2020,0,28,1306,1278,274,0,0,30
22/03/2020,0,35,1480,1445,89,0,0,50
23/03/2020,0,41,1611,1570,345,0,0,68
24/03/2020,0,56,1824,1768,324,0,0,79
25/03/2020,0,74,2001,1927,347,0,0,90
26/03/2020,0,86,2122,2035,364,0,0,117
27/03/2020,5,102,2236,2129,365,0,0,125
28/03/2020,5,120,2340,2325,365,0,0,151
29/03/2020,6,129,2427,2292,256,0,0,172
30/03/2020,6,147,2529,2376,219,146,365,178
31/03/2020,6,164,2574,2404,140,76,216,193
01/04/2020,7,173,2671,2491,179,90,269,214
02/04/2020,7,187,2785,2591,206,89,295,229
03/04/2020,9,204,2889,2676,206,94,300,246
04/04/2020,9,210,2984,2765,227,94,321,257
05/04/2020,10,217,3042,2815,233,94,327,273
06/04/2020,11,230,3111,2870,242,94,336,281
07/04/2020,73,244,3236,2919,297,98,395,342
08/04/2020,127,255,3342,2960,317,86,403,407
09/04/2020,176,268,3431,2987,352,84,436,462
10/04/2020,252,275,3524,2997,361,69,430,547
11/04/2020,269,284,3669,3116,435,69,504,569
12/04/2020,313,293,3734,3125,453,69,522,621
13/04/2020,429,300,3797,3068,455,68,523,731
14/04/2020,449,310,3815,3056,452,68,520,749
15/04/2020,485,318,3891,3088,489,61,550,798
16/04/2020,541,322,3955,3092,507,61,568,879
17/04/2020,702,342,4041,2997,523,56,579,1040
18/04/2020,752,348,4097,2997,535,47,582,1094
19/04/2020,865,360,4183,2958,531,42,573,1201
20/04/2020,966,366,4236,2904,529,41,570,1295
21/04/2020,985,376,4254,2893,530,41,571,1329
22/04/2020,1034,381,4289,2873,535,41,576,1391
23/04/2020,1110,382,4368,2796,536,41,577,1474
24/04/2020,1199,389,4413,2698,533,41,574,1560
25/04/2020,1340,400,4471,2731,566,38,604,1694
26/04/2020,1492,405,4528,2631,539,29,568,1807
27/04/2020,1577,407,4626,2642,559,29,588,1881
28/04/2020,1741,412,4657,2504,558,30,588,2048
29/04/2020,1889,416,4697,2392,528,29,557,2190
30/04/2020,2041,418,4741,2285,528,29,557,2328
01/05/2020,2133,423,4759,2203,519,31,550,2416
02/05/2020,2209,425,4807,2173,520,28,548,2474
03/05/2020,2335,429,4869,2105,505,18,523,2571
04/05/2020,2451,431,4897,2015,504,12,516,2663
05/05/2020,2572,434,4906,1900,501,0,501,2787
06/05/2020,2657,438,4954,1859,471,0,471,2861
07/05/2020,2737,439,5009,1833,479,0,479,2935
08/05/2020,2779,440,5039,1820,477,0,477,2976
09/05/2020,2834,441,5077,1802,479,0,479,3025
10/05/2020,2888,444,5111,1779,467,0,467,3070
11/05/2020,2950,446,5134,1738,459,0,459,3122
12/05/2020,3026,448,5162,1688,444,0,444,3194
13/05/2020,3156,449,5195,1590,428,0,428,3305
14/05/2020,3235,451,5233,1547,414,0,414,3381
15/05/2020,3361,454,5265,1450,403,0,403,3496
16/05/2020,3447,456,5284,1381,380,0,380,3568
17/05/2020,3511,456,5304,1337,358,0,358,3628
18/05/2020,3613,456,5317,1248,353,0,358,3717
19/05/2020,3665,458,5327,1204,346,0,346,3766
20/05/2020,3782,459,5346,1105,298,0,298,3881
21/05/2020,3896,459,5361,1006,274,0,274,3969
22/05/2020,4023,459,5377,895,267,0,267,4090
23/05/2020,4097,460,5387,830,251,0,251,4160
24/05/2020,4153,461,5399,785,238,0,238,4211
25/05/2020,4192,462,5400,746,235,0,235,4242
26/05/2020,4210,465,5412,737,237,0,237,4257
27/05/2020,4267,466,5419,686,223,0,223,4313
28/05/2020,4301,466,5423,656,222,0,222,4344
29/05/2020,4403,466,5429,560,217,0,217,4431
30/05/2020,4470,466,5431,495,207,0,207,4487
31/05/2020,4576,466,5432,390,153,0,153,4588
01/06/2020,4596,466,5435,373,146,0,146,4608
02/06/2020,4602,467,5435,363,144,0,144,4617
03/06/2020,4698,467,5437,272,95,0,95,4708
04/06/2020,4715,468,5438,255,89,0,89,4725
05/06/2020,4821,468,5438,149,55,0,55,4824
06/06/2020,4844,468,5443,131,44,0,44,4847
07/06/2020,4871,468,5444,105,41,0,41,4873
08/06/2020,4874,468,5445,103,39,0,39,4876
09/06/2020,4876,468,5448,104,37,0,37,4879
10/06/2020,4880,468,5448,100,39,0,39,4883
11/06/2020,4890,468,5450,92,30,0,30,4894
12/06/2020,4898,468,5452,86,29,0,29,4901
13/06/2020,4900,468,5455,87,31,0,31,4902
14/06/2020,4906,468,5456,82,33,0,33,4908
15/06/2020,4906,469,5457,82,32,0,32,4908
16/06/2020,4910,469,5457,78,35,0,35,4913
17/06/2020,4921,469,5458,68,31,0,31,4923
18/06/2020,4928,469,5466,69,25,0,25,4928
19/06/2020,4932,470,5467,65,21,0,21,4933
20/06/2020,4938,470,5467,59,19,0,19,4938
21/06/2020,4941,470,5472,61,23,0,23,4941
22/06/2020,4942,470,5473,61,23,0,23,4942
23/06/2020,4946,470,5474,58,23,0,23,4946
24/06/2020,4952,470,5474,52,23,0,23,4952
25/06/2020,4955,470,5477,52,23,0,23,4955
26/06/2020,4959,470,5481,52,19,0,19,4959
27/06/2020,4961,470,5482,51,20,0,20,4961
28/06/2020,4961,470,5485,54,21,0,21,4961
29/06/2020,4962,470,5485,53,21,0,21,4962
30/06/2020,4965,470,5485,50,21,0,21,4965
01/07/2020,4969,470,5486,47,21,0,21,4969
02/07/2020,4971,470,5487,46,22,0,22,4969
03/07/2020,4977,470,5493,46,17,0,17,4969
04/07/2020,4977,470,5495,48,19,0,19,4969
05/07/2020,4983,470,5495,42,17,0,17,4969
06/07/2020,4988,470,5495,37,14,0,14,4969
07/07/2020,4988,470,5498,40,13,0,13,4969
08/07/2020,4991,470,5498,37,12,0,12,4969
09/07/2020,4994,470,5498,34,12,0,12,4970
10/07/2020,5003,470,5501,28,8,0,8,4971
